near-normal,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_19181001,0,0,0,0,0,0,100,100,100,97.6,0
0,d_19181101,0,0,0,0,0,0,100,100,99.5,37.3,0
98.5,d_19181201,0,0,0,0,0,0,1.5,0,0,0,0
100,d_19190101,0,0,0,0,0,0,0,0,0,0,0
100,d_19190201,0,0,0,0,0,0,0,0,0,0,0
98.6,d_19190301,0,0,0,0,0,0,1.4,0,0,0,0
93.5,d_19190401,6.5,0,0,0,0,0,0,0,0,0,0
86.7,d_19190501,11.9,0,0,0,0,0,1.4,0,0,0,0
67.4,d_19190601,32.6,0,0,0,0,0,0,0,0,0,0
83.3,d_19190701,16.7,0,0,0,0,0,0,0,0,0,0
60.9,d_19190801,39.1,0.4,0,0,0,0,0,0,0,0,0
93.7,d_19190901,6.3,0,0,0,0,0,0,0,0,0,0
94.9,d_19191001,0,0,0,0,0,0,5.1,0,0,0,0
100,d_19191101,0,0,0,0,0,0,0,0,0,0,0
100,d_19191201,0,0,0,0,0,0,0,0,0,0,0
1,d_19200101,99,13,0,0,0,0,0,0,0,0,0
1.6,d_19200201,98.4,39,0,0,0,0,0,0,0,0,0
100,d_19200301,0,0,0,0,0,0,0,0,0,0,0
100,d_19200401,0,0,0,0,0,0,0,0,0,0,0
100,d_19200501,0,0,0,0,0,0,0,0,0,0,0
99,d_19200601,1,0,0,0,0,0,0,0,0,0,0
100,d_19200701,0,0,0,0,0,0,0,0,0,0,0
100,d_19200801,0,0,0,0,0,0,0,0,0,0,0
100,d_19200901,0,0,0,0,0,0,0,0,0,0,0
47.7,d_19201001,0,0,0,0,0,0,52.3,0,0,0,0
28,d_19201101,0,0,0,0,0,0,72,5.5,0,0,0
1.3,d_19201201,98.7,59.2,0,0,0,0,0,0,0,0,0
100,d_19210101,0,0,0,0,0,0,0,0,0,0,0
78.9,d_19210201,21.1,0,0,0,0,0,0,0,0,0,0
25.8,d_19210301,74.3,13,0,0,0,0,0,0,0,0,0
4.4,d_19210401,95.6,22,0,0,0,0,0,0,0,0,0
44.7,d_19210501,55.3,0,0,0,0,0,0,0,0,0,0
58,d_19210601,42,0,0,0,0,0,0,0,0,0,0
81.8,d_19210701,18.2,0,0,0,0,0,0,0,0,0,0
100,d_19210801,0,0,0,0,0,0,0,0,0,0,0
100,d_19210901,0,0,0,0,0,0,0,0,0,0,0
96.7,d_19211001,3.3,0,0,0,0,0,0,0,0,0,0
89,d_19211101,10,0,0,0,0,0,1,0,0,0,0
0,d_19211201,0,0,0,0,0,0,99.9,99.9,91.2,49,5
0,d_19220101,0,0,0,0,0,0,100,100,75,21.5,0
0,d_19220201,0,0,0,0,0,0,100,91.4,2.9,0,0
0,d_19220301,0,0,0,0,0,0,100,69,0,0,0
0,d_19220401,0,0,0,0,0,0,100,39.7,0,0,0
0,d_19220501,0,0,0,0,0,0,100,58,0,0,0
0,d_19220601,0,0,0,0,0,0,100,53.3,0,0,0
0,d_19220701,0,0,0,0,0,0,100,59.7,0.1,0,0
0,d_19220801,0,0,0,0,0,0,100,85,0.9,0,0
96.3,d_19220901,0,0,0,0,0,0,3.7,0,0,0,0
100,d_19221001,0,0,0,0,0,0,0,0,0,0,0
100,d_19221101,0,0,0,0,0,0,0,0,0,0,0
23.2,d_19221201,0,0,0,0,0,0,76.8,26.7,0,0,0
76.2,d_19230101,0,0,0,0,0,0,23.8,0,0,0,0
95.1,d_19230201,4.9,0,0,0,0,0,0,0,0,0,0
24.5,d_19230301,75.5,34.3,0,0,0,0,0,0,0,0,0
53.5,d_19230401,46.4,2,0,0,0,0,0,0,0,0,0
41.6,d_19230501,58.4,10.1,0,0,0,0,0,0,0,0,0
47.5,d_19230601,52.5,3.8,0,0,0,0,0,0,0,0,0
48.1,d_19230701,51.9,3.8,0,0,0,0,0,0,0,0,0
47,d_19230801,53,1.4,0,0,0,0,0,0,0,0,0
0,d_19230901,100,63.5,0,0,0,0,0,0,0,0,0
0,d_19231001,100,28.5,0,0,0,0,0,0,0,0,0
3.9,d_19231101,96.2,31.4,0,0,0,0,0,0,0,0,0
62.5,d_19231201,37.4,0.6,0,0,0,0,0,0,0,0,0
0,d_19240101,100,100,89.2,23.4,0,0,0,0,0,0,0
0,d_19240201,100,100,100,95.6,75.1,0,0,0,0,0,0
0,d_19240301,100,100,83.2,0,0,0,0,0,0,0,0
0,d_19240401,100,99.6,48.8,0,0,0,0,0,0,0,0
